Source	Target	lang	xml	role	resp	name	Key	page
Leoni (1855)		it				Phirio		10
Benucci (1874)		it	quote	translator		Un traduttore dell'opera De Natura deorum		11
Fontanella (1806)		it				Ep. l. 7		34
Pescatori (1874)		it				Muller		39
Leoni (1855)		it				Panni		42
Tomeo (1824)		it	quote			Ne' suoi rapidi voli Urania svela…		45
Durante (1853)		it				Pell.		51
Tomeo (1824)		it	quote			Armato di fierezza il rio Terrore...		55
Tomeo (1824)		it	quote			Termine sii tu pietra, o informe tronco		75
Thouar (1861)		it				Nicostrato		96
Tomeo (1824)		it	quote			un poeta (Ella è una Divaa, o piuttosto un mostro di straordinaria grandezza…)		98
Tomeo (1824)		it	quote			Dalle volte del Ciel aureo lucenti…		99
Pescatori (1874)		it	quote			Luna polo, Diana solo, Proserpina Averno…		121
Fontanella (1806)		it				Demarco		141
Benucci (1874)		it				Pisanto		147
Durante (1853)		it				Lachete		150
Fontanella (1806)		it				Demarato		156
Durante (1853)		it	quote			Terret, lustrat, agit, Proserpina, Luna, Diana…		156
Fontanella (1806)		it				Doroth.		176
Durante (1853)		it				Callistrato		184
Fontanella (1806)		it				Doroth. Narrat. Fabul.		186
Tomeo (1824)		it	quote			Stanchi i Principi della Grecia, Enea imprese a dire (plusieurs pages)		186
Durante (1853)		it				Didimo		191
Benucci (1874)		it				Un moderno scrittore		196
Durante (1853)		it	quote			Poichè aggiunta per la folta ei l'ebbe		197
Durante (1853)		it				Nicearco		202
Durante (1853)		it				Eveno		211
Durante (1853)		it				Doroteo		214
Tomeo (1825)		it				Diotime		218
Durante (1853)		it				Menandro		219
Fontanella (1806)		it				Polycharm.		220
Fontanella (1806)		it				Asclepiade		224
Durante (1853)		it				Caton.		236
Durante (1853)		it				Movop		237
Fontanella (1806)		it				Panio		243
Fontanella (1806)		it				Dionys. lib. de sit. orb.		246
Fontanella (1806)		it				Dionys. lib. de sit. orb.		247
Fontanella (1806)		it				Hymn. in Lavacr. Apoll.		248
Fontanella (1806)		it				Androscene di Tebe		250
Fontanella (1806)		it				Polemone		259
Durante (1853)		it				Histoir. de l'Academ. royal. des inscript.		264
Pescatori (1875)		it				Cronologia Greca		306
Pescatori (1875)		it				Cronologia Greca		307
Pescatori (1875)		it				Cronologia Greca		308
Pescatori (1875)		it				Cronologia Greca		324
Pescatori (1875)		it				Brettmann		325
Pescatori (1875)		it				Cronologia Greca		377
Testi (1831)		it	quote			Egli è ben giusto che avendo incominciata la vittoria…		377
Fontanella (1806)		it				Eutidemo Ateniese		384
Durante (1853)		it				Teocosmo		384
Fontanella (1806)		it				Callicrate		388
Fontanella (1806)		it				Callistene		392
Pescatori (1875)		it				Cronologia Greca		394
Pescatori (1875)		it				Cronologia Greca		394
Pescatori (1875)		it				Cronologia Greca		415
Pescatori (1875)		it				Cronologia Greca		415
Tomeo (1824)	Abaris	it				Abari	Abaris	8
Fontanella (1806)	Abati Olivieri Giordani	it				bella Dissertazione dell' Olivieri sull' indicato Monumento nel Tomo III dell' Academia di Cortona	Abati Olivieri Giordani, Annibale degli (1708-1789)	307
Pescatori (1874)	Accademia della Crusca	it				Crusca	Accademia della Crusca (Florence, Italie)	240
Pescatori (1874)	Accademia della Crusca	it				Vocabolario della Crusca	Accademia della Crusca (Florence, Italie)	240
Pescatori (1874)	Accademia della Crusca	it				Crusca	Accademia della Crusca (Florence, Italie)	241
Durante (1853)	Accius	it				Accio	Accius, Lucius (0170-0086 av. J.-C.?)	188
Pescatori (1875)	Accius	it				Lucio Accio	Accius, Lucius (0170-0086 av. J.-C.?)	347
Fontanella (1806)	Achée d'Érétrie	it				Acheo	Achée d'Érétrie (0484-04..? av. J.-C.)	201
Fontanella (1806)	Achée d'Érétrie	it				Acheo	Achée d'Érétrie (0484-04..? av. J.-C.)	224
Thouar (1861)	Adriani	it	quote			Sbeffavano gli Attici un vecchio…	Adriani, Marcello (1562-1604)	319
Thouar (1861)	Adriani	it	quote			Un vecchio avvolontato di vedere i giuochi che si celebravano…	Adriani, Marcello (1562-1604)	319
Fontanella (1806)	Agathosthène	it				Aglaostene	Agathosthène	82
Thouar (1861)	Agésandre de Rhodes	it				Agesandro	Agésandre de Rhodes (00..-00..)	291
Testi (1831)	Agésandre de Rhodes	it				Agesandro di Rodi	Agésandre de Rhodes (00..-00..)	427
Fontanella (1806)	Agoracrite	it				Agoracrito	Agoracrite (04..?-04..? av. J.-C.)	347
Fontanella (1806)	Agoracrite	it				Agoracrito	Agoracrite (04..?-04..? av. J.-C.)	347
Pescatori (1874)	Alamanni	it	quote			Alamanni	Alamanni, Luigi (1495-1556)	173
Durante (1853)	Alamanni	it	quote			Alamanni	Alamanni, Luigi (1495-1556)	269
Fontanella (1806)	Albéric de Londres	it				Albric. De Deor. Imag.	Albéric de Londres (11..-1220?)	15
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	107
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	107
Durante (1853)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	215
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	222
Durante (1853)	Albéric de Londres	it				Albrico Filosofo	Albéric de Londres (11..-1220?)	378
