graphie	identifiant
Accio	Accius
Acland, H. W.	Acland
Adam	Adam
Addison	Addison
Addison, Joseph	Addison
Addison’s	Addison
Agésandre	Agésandre
Agesandro	Agésandre
Argia da Trezene	Agias
Akenside	Akenside
Akenside, Mark	Akenside
Albani, Francesco	Albani
Francesco Albani’s	Albani
Alcamene	Alcamene
Alcæ’us	Alcée
Alcæus	Alcée
Alciat	Alciato
Alcmane	Alcman
Alcmano	Alcman
Aldrich, T. B.	Aldrich
T. B. Aldrich	Aldrich
Alfieri	Alfieri
Allen	Allen
Anacreon	Anacréon
Anacreonte	Anacréon
Anacreontiche	Anacréon
Anassagora	Anaxagore
Anderson, R. B.	Anderson
Anderson’s	Anderson
R. B. Anderson’s	Anderson
A. Pisano	Pisano A.
Pisano, Andrea	Pisano A.
Andronico Cirreste	Andronicus Cyrrhestes
Anquetil-Duperron	Antequil-Duperron
Charles Anthon	Anthon
Antimaco di Colofone	Antimaque
Antistene Cinico	Antisthène
Anyte	Anyte
Apel’les	Apelle
Apelle	Apelle
Apelles	Apelle
Apollod.	Apollodore
Apollodo’rus	Apollodore
Apollodoro	Apollodore
Apollodorus	Apollodore
Apollonio Ateniese	Apollonios de Rhodes
Apollo’nius (of Rhodes)	Apollonios de Rhodes
Apollon. Rhod.	Apollonios de Rhodes
Apollonio	Apollonios de Rhodes
Apollonio di Rodi	Apollonios de Rhodes
Apollonius	Apollonios de Rhodes
Apollonius of Rhodes	Apollonios de Rhodes
Apollonius Rhodius	Apollonios de Rhodes
Apollonio e Taurisco di Tralle
W. H. Appleton’s	Appleton
Appleton	Appleton
Apule’ius	Apulée
Apulée	Apulée
Apuleiana	Apulée
Apuleius	Apulée
Apulejo	Apulée
Arato	Aratos
Archiloco	Archiloque
Artino	Arctinos
Arion	Arion
Arion’s	Arion
Ariosto	Ariosto
Aristea	Aristée
Aristofano	Aristophane
Aristoph’a-nes	Aristophane
Aristophanes	Aristophane
Aristophane	Aristophane
Aristotle	Aristote
Armstrong, John	Armstrong
Armstrong, W. J.	Armstrong
D’Arnaud	D'Arnaud
Arngrim Johnsson	Jónsson
Arne Magnusson	Magnússon
Arnold, Edwin	Arnold E.
Arnold, Sir E.	Arnold E.
Arnold’s	Arnold E.
E. Arnold	Arnold E.
Edwin Arnold	Arnold E.
Sir Edwin Arnold	Arnold E.
Arnold, M.	Arnold M.
Arnold, Matthew	Arnold M.
Id’s	Arnold M.
M. Arn.	Arnold M.
M. Arnold	Arnold M.
Matthew Arnold	Arnold M.
Matthew Arnold’s	Arnold M.
