Id	Label	birth	death	role	lang	Notes	Score
Homère	Homère (08..?-08..? av. J.-C.)	-900	-800	littérature	grec		381
Ovide	Ovide (0043 av. J.-C.-0017)	-43	17	littérature	latin		343
Virgile	Virgile (0070-0019 av. J.-C.)	-70	-19	littérature	latin		309
Rousseau J.-B.	Rousseau, Jean-Baptiste (1670-1741)	1670	1741	littérature	français		142
Milton	Milton, John (1608-1674)	1608	1674	littérature	anglais		122
La Motte	La Motte, Antoine Houdar de (1672-1731)	1672	1731	littérature	français		119
Voltaire	Voltaire (1694-1778)	1694	1778	littérature	français		112
Hésiode	Hésiode (07..?-07..? av. J.-C.)	-800	-700	littérature	grec		109
La Fontaine	La Fontaine, Jean de (1621-1695)	1621	1695	littérature	français		86
Pope	Pope, Alexander (1688-1744)	1688	1744	littérature	anglais		73
Sophocle	Sophocle (0496?-0406 av. J.-C.)	-496	-406	littérature	grec		70
Horace	Horace (0065-0008 av. J.-C.)	-65	-8	littérature	latin		67
Racine	Racine, Jean (1639-1699)	1639	1699	littérature	français		67
Delille	Delille, Jacques (1738-1813)	1738	1813	littérature	français		64
Hérodote	Hérodote (0484?-0420? av. J.-C.)	-484	-420	littérature	grec		63
Phidias	Phidias (0490?-0431 av. J.-C.)	-490	-431	beaux-arts	grec		59
Diodore de Sicile	Diodore de Sicile (0090?-0020? av. J.-C.)	-90	-20	littérature	grec		56
Keats	Keats, John (1795-1821)	1795	1821	littérature	anglais		50
Pausanias	Pausanias (01..-01..)	115	180	érudition	grec		47
Byron	Byron, George Gordon Byron (1788-1824 ; baron)	1788	1824	littérature	anglais		46
Roscher	Roscher, Wilhelm Heinrich (1845-1923)	1845	1923	érudition	allemand		46
Boileau	Boileau, Nicolas (1636-1711)	1636	1711	littérature	français		45
Euripide	Euripide (0480-0406 av. J.-C.)	-480	-406	littérature	grec		45
Saint-Ange	Saint-Ange, Ange-François Fariau de (1747-1810)	1747	1810	littérature	français		45
Pindare	Pindare (0518-0438 av. J.-C.)	-518	-438	littérature	grec		43
Eschyle	Eschyle (0525?-0456 av. J.-C.)	-525	-456	littérature	grec		42
Bryant W.	Bryant, William Cullen (1794-1878)	1794	1878	littérature	américain		41
Pline l'Ancien	Pline l'Ancien (0023-0079)	23	79	littérature	latin		40
Moore Th.	Moore, Thomas (1779-1852)	1779	1852	littérature	anglais		36
Cicéron	Cicéron (0106-0043 av. J.-C.)	-106	-43	littérature	latin		34
Gresset	Gresset, Jean-Baptiste-Louis (1709-1777)	1709	1777	littérature	français		34
Bernis	Bernis, François-Joachim de Pierre de (1715-1794)	1715	1794	littérature	français		33
Plutarque	Plutarque (0046?-0120?)	46	120	littérature	grec		32
Shakespeare	Shakespeare, William (1564-1616)	1564	1616	littérature	anglais		32
Demoustier	Demoustier, Charles-Albert (1760-1807)	1760	1807	manuel	français		31
Platon	Platon (0427?-0348? av. J.-C.)	-427	-348	littérature	grec		31
Tennyson A.	Tennyson, Alfred (1809-1892)	1809	1892	littérature	anglais		31
Quinault	Quinault, Philippe (1635-1688)	1635	1688	littérature	français		30
Sappho	Sappho (0612?-0557? av. J.-C.)	-612	-557	littérature	grec		30
Shelley	Shelley, Percy Bysshe (1792-1822)	1792	1822	littérature	anglais		30
Conington	Conington, John (1825-1869)	1825	1869	littérature	anglais		28
Elton	Elton, Oliver (1861-1945)	1861	1945	littérature	anglais		28
Dryden J.	Dryden, John (1631-1700)	1631	1700	littérature	anglais		27
Fénelon	Fénelon, François de (1651-1715)	1651	1715	littérature	français		27
La Grange-Chancel	La Grange-Chancel, François-Joseph de (1677-1758)	1677	1758	littérature	français		25
Lang	Lang, Andrew (1844-1912)	1844	1912	littérature	anglais		25
Varron	Varron (0116-0027 av. J.-C.)	-116	-27	érudition	latin		25
Corneille	Corneille, Pierre (1606-1684)	1606	1684	littérature	français		24
Arion	Arion (06..-06..)	-700	-600	littérature	grec		23
Pitt	Pitt, Christopher (1699-1748)	1699	1748	littérature	grec		23
Tacite	Tacite (0055?-0120?)	55	120	érudition	latin		23
Darwin E.	Darwin, Erasmus (1731-1802)	1731	1802	littérature	anglais		22
Müller F. M.	Müller, Friedrich Max (1823-1900)	1823	1900	érudition	allemand		22
Apollodore	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	-180	-110	littérature	grec		21
Longfellow	Longfellow, Henry Wadsworth (1807-1882)	1807	1882	littérature	américain		21
Simonide de Céos	Simonide de Céos (0556-0467 av. J-C.)	-556	-467	littérature	grec		21
Catulle	Catulle (0087?-0052? av. J.-C.)	-87	-52	littérature	latin		20
Francklin	Francklin, Thomas (1721-1784)	1721	1784	littérature	anglais		20
Cox G. W.	Cox, George William (1827-1902)	1827	1902	manuel	anglais		19
Cornwall	Cornwall, Barry (1787-1874)	1787	1874	littérature	anglais		18
