Id	langmanuel	role	date
Adams (1900)	en	manuel	1900
Anonyme (1842)	en	manuel	1842
Baude (1845)	fr	manuel	1845
Benucci (1874)	it	manuel	1874
Bertoux (1806)	fr	manuel	1806
Brès (1823)	fr	manuel	1823
Brunel (1800)	fr	manuel	1800
Brunel (1807)	fr	manuel	1807
Bulfinch (1855)	en	manuel	1855
Darlington (1832)	en	manuel	1832
Drioux (1850)	fr	manuel	1850
Durante (1853)	it	manuel	1853
Édom (1883)	fr	manuel	1883
Edwards (1883)	en	manuel	1883
Ellis (1895)	en	manuel	1895
Engrand (1815)	fr	manuel	1815
Fontanella (1806)	it	manuel	1806
Gayley (1898)	en	manuel	1898
Genlis (1810)	fr	manuel	1810
Genlis (1810)	fr	manuel	1810
Géruzez (1869)	fr	manuel	1869
Guerber (1909)	en	manuel	1909
Hort (1836)	en	manuel	1836
Humbert (1847)	fr	manuel	1847
Kupfer (1897)	en	manuel	1897
Le Tellier (1812)	fr	manuel	1812
Leoni (1855)	it	manuel	1855
Morel (1864)	fr	manuel	1864
Niccolini (1880)	it	manuel	1880
Ordinaire (1866)	fr	manuel	1866
Pescatori (1874)	it	manuel	1874
Ramorino (1897)	it	manuel	1897
Renneville (1847)	fr	manuel	1847
Robbins (1833)	en	manuel	1833
Robbins (1860)	en	manuel	1860
Soave (1836)	it	manuel	1836
Testi (1831)	it	manuel	1831
Thouar (1861)	it	manuel	1861
Tressan (1822)	fr	manuel	1822
Tressan (1822)	fr	manuel	1822
White (1889)	en	manuel	1889
